id,site,morph,Bites 7/20,Bites 7/21,Bites 7/22,plant,sure bites,notes
1,POB,D,0,0,0,CIVU,0,
2,POB,L,1,1,0,CIAR,1,
4,POB,L,1,0,0,SEJA,0,
5,POB,D,0,0,0,SEJA,0,
6,POB,L,0,0,1,LACT,1,
7,POB,D,0,1,0,RUAR,1,
8,POB,L,1,0,0,SOLID,1,
9,POB,D,0,0,0,RUAR,0,
11,POB,D,1,0,0,RUAR,0,fell off
12,POB,L,0,0,0,RUAR,0,
13,POB,D,0,0,0,LUPIN,0,
14,POB,L,0,1,0,RUAR,0,
15,POB,D,0,0,0,LUPIN,0,
17,POB,D,0,0,0,LUPIN,0,
18,POB,L,0,0,1,BEPE,1,
19,POB,D,0,0,0,SOLID,0,
20,POB,L,0,0,0,LUPIN,0,
21,POB,D,0,0,0,LUPIN,0,
22,POB,L,0,0,0,BEPE,0,
23,POB,D,0,0,0,LUPIN,0,
24,POB,L,0,0,0,RUAR,0,
25,POB,D,0,0,1,CIVU,0,
26,POB,L,0,0,0,RUAR,0,
27,POB,D,0,0,0,BEPE,0,
28,POB,L,0,1,0,BEPE,1,
29,POB,D,0,0,1,RUAR,0,
30,POB,L,1,0,0,LUPIN,0,
31,POB,D,1,0,0,BEPE,1,
32,POB,L,0,0,1,RUAR,0,
33,POB,D,0,1,0,RUAR,0,
34,POB,L,0,0,0,RUAR,0,
35,POB,D,0,0,0,BEPE,0,
36,POB,L,1,0,0,RUAR,0,
37,POB,D,1,0,1,RUAR,1,
38,POB,L,0,0,0,RUAR,0,
39,POB,D,0,1,0,RUAR,0,
40,POB,L,1,0,0,LUPIN,0,
41,POB,D,1,1,0,BEPE,0,
42,POB,L,0,0,0,BEPE,0,
43,POB,D,1,0,0,BEPE,0,
44,POB,L,1,0,0,SOLID,1,
45,POB,D,1,0,0,RUAR,0,
46,POB,L,1,0,0,RUAR,1,
47,POB,D,0,0,0,BEPE,0,
48,POB,L,1,0,0,SOLID,0,
49,POB,D,1,0,1,BEPE,1,
50,POB,L,0,0,0,BEPE,0,
51,POB,D,0,0,0,BEPE,0,
52,POB,L,1,0,0,BEPE,0,
53,POB,D,1,1,0,BEPE,1,
54,POB,L,0,0,0,RUAR,0,
55,POB,D,0,1,0,SOLID,0,
56,POB,L,1,0,0,DIFU,1,
57,POB,D,1,0,0,DIFU,1,
58,POB,L,1,0,0,LUPIN,0,
59,POB,D,0,0,0,SOLID,0,
60,POB,L,0,1,0,BEPE,0,
61,POB,D,1,1,0,RUAR,0,
62,POB,L,0,1,0,RUAR,0,
63,POB,D,1,0,0,BEPE,1,
64,POB,L,0,1,0,BEPE,0,
65,BMR,L,0,0,0,PTAQ,0,
66,BMR,D,0,0,0,PTAQ,0,
68,BMR,D,0,0,0,PTAQ,0,
69,BMR,L,0,0,0,PTAQ,0,
70,BMR,D,0,0,0,ICE,0,
71,BMR,L,0,0,0,ACMI,0,
72,BMR,D,0,0,0,ACMI,0,
73,BMR,L,0,0,1,ICE,0,
74,BMR,D,1,0,1,ACMI,1,
75,BMR,L,1,0,0,ERGL,1,
76,BMR,D,1,0,0,ACMI,1,
77,BMR,L,0,0,0,ICE,0,
78,BMR,D,0,0,0,ICE,0,
79,BMR,L,0,0,0,ICE,0,
80,BMR,D,1,0,0,ERGL,0,
81,BMR,L,0,0,1,ERGL,1,
82,BMR,D,0,0,0,ACMI,0,
83,BMR,L,0,0,0,ACMI,0,
84,BMR,D,0,0,0,ACMI,0,
86,BMR,D,0,0,0,ICE,0,
87,BMR,L,0,0,0,ICE,0,
88,BMR,D,0,0,0,ICE,0,
89,BMR,L,1,0,0,ACMI,1,
90,BMR,D,1,0,0,LUAR,0,
91,BMR,L,0,0,0,LUAR,0,
92,BMR,D,0,1,1,LUAR,1,
93,BMR,L,0,1,1,ACMI,1,
94,BMR,D,0,0,0,ACMI,0,
95,BMR,L,1,1,0,LUAR,1,
96,BMR,D,0,0,0,LUAR,0,
97,BMR,L,0,0,0,LUAR,0,
98,BMR,D,0,0,0,LUAR,0,
99,BMR,L,1,0,0,LUAR,1,
100,BMR,D,0,0,0,LUAR,0,
101,BMR,L,0,0,0,LUAR,0,
102,BMR,D,0,0,0,LUAR,0,
103,BMR,L,0,0,1,LUAR,1,
104,BMR,D,0,0,0,LUAR,0,
106,BMR,D,0,0,0,ERGL,0,
107,BMR,L,1,0,0,LUAR,1,
108,BMR,D,0,0,0,LUAR,0,
109,BMR,L,0,0,0,LUAR,0,
110,BMR,D,0,0,1,LUAR,0,
111,BMR,L,0,0,0,ACMI,0,rodent
112,BMR,D,0,0,0,ACMI,0,
113,BMR,L,0,0,0,ACMI,0,
114,BMR,D,0,0,0,LUAR,0,
115,BMR,L,0,0,0,LUAR,0,
116,BMR,D,0,0,1,ACMI,0,
117,BMR,L,1,0,0,ERGL,1,
118,BMR,D,1,1,0,ACMI,1,
119,BMR,L,1,0,0,ACMI,1,
120,BMR,D,0,0,0,ACMI,0,
121,BMR,L,1,0,0,ACMI,1,
122,BMR,D,1,0,0,ACMI,1,
123,BMR,L,1,0,0,LUVA,1,
124,BMR,D,0,0,0,LUVA,0,
125,BMR,L,1,0,0,LUVA,1,
126,BMR,D,0,0,0,LUVA,0,
127,BMR,L,0,1,1,LUVA,1,
